Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
MOISES,tvui,movieDetails,,,2021-09-20 16:01:55
MOISES,tvui,playback,,,2021-09-20 16:01:55
MOISES,tvui,profilesGate,,,2021-09-20 14:20:08
MOISES,tvui,postPlay,,,2021-09-20 01:58:39
MOISES,tvui,playback,,,2021-09-20 01:58:39
MOISES,tvui,playback,,,2021-09-20 01:58:33
MOISES,tvui,postPlay,,,2021-09-20 01:58:33
MOISES,tvui,movieDetails,,,2021-09-20 01:31:32
MOISES,tvui,playback,,,2021-09-20 01:31:32
MOISES,tvui,movieDetails,,,2021-09-20 01:31:29
MOISES,tvui,browseTitles,,,2021-09-20 01:31:29
MOISES,tvui,screenSaver,,,2021-09-20 01:30:47
MOISES,tvui,browseTitles,,,2021-09-20 01:30:47
MOISES,tvui,browseTitles,,,2021-09-20 01:22:05
MOISES,tvui,screenSaver,,,2021-09-20 01:22:05
MOISES,tvui,browseTitles,,,2021-09-20 01:16:36
MOISES,tvui,profilesGate,,,2021-09-20 01:16:36
MOISES,tvui,profilesGate,,,2021-09-20 01:16:29
MOISES,tvui,postPlay,,,2021-09-20 00:58:11
MOISES,tvui,playback,,,2021-09-20 00:58:11
MOISES,tvui,playback,,,2021-09-20 00:58:05
MOISES,tvui,postPlay,,,2021-09-20 00:58:05
MOISES,tvui,postPlay,,,2021-09-20 00:18:06
MOISES,tvui,playback,,,2021-09-20 00:18:06
MOISES,tvui,playback,,,2021-09-20 00:18:01
MOISES,tvui,postPlay,,,2021-09-20 00:18:01
MOISES,tvui,playback,,,2021-09-19 23:32:46
MOISES,tvui,postPlay,,,2021-09-19 23:32:46
MOISES,tvui,playback,,,2021-09-19 23:32:41
MOISES,tvui,postPlay,,,2021-09-19 23:32:41
MOISES,tvui,playback,,,2021-09-19 23:00:02
MOISES,tvui,episodesSelector,,,2021-09-19 23:00:02
MOISES,tvui,movieDetails,,,2021-09-19 22:59:34
MOISES,tvui,episodesSelector,,,2021-09-19 22:59:34
MOISES,tvui,browseTitles,,,2021-09-19 22:59:30
MOISES,tvui,movieDetails,,,2021-09-19 22:59:30
MOISES,tvui,movieDetails,,,2021-09-19 22:59:23
MOISES,tvui,browseTitles,,,2021-09-19 22:59:23
MOISES,tvui,playback,,,2021-09-19 16:46:14
