Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Victor,LGTV20203=31017340285,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2021-07-02T17:19:43.118Z,2021-09-23T23:27:23.363Z,2021-07-02T17:20:32.346Z,2021-09-23T23:27:23.363Z,2021-07-02T17:19:43.118Z,2021-09-23T23:27:23.363Z,2021-07-02T17:20:32.346Z,2021-09-23T23:27:23.363Z,
MOISES,SSTV-NKL2-0000000000000009367115,Samsung CE 2020 Nike-L UHD TV Smart TV,2021-06-17T14:17:10.539Z,2021-09-23T21:53:52.065Z,2021-06-17T14:17:10.539Z,2021-09-23T21:23:28.640Z,2021-06-17T14:17:10.539Z,2021-09-23T21:53:52.065Z,2021-06-17T14:17:10.539Z,2021-09-23T21:23:28.640Z,
Victor,NFANDROID1-PRV-P-L3-MOTORMOTOROLA=ONE=ACTION-22589-030F15D1CBF371FB429C6E430C3550D30FBFE658C6B8BF5003CB8BE337174DEB2,Android DefaultWidevineL3Phone Android Phone,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,2021-09-23T14:00:12.498Z,
MOISES,NFCDCH-AP-H6208V2AAD1N2C74RME50TP8CW7WWG,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Victor,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,,,,,
Kids,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,,,,,
Rafael,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,,,,,
MOISES,NFANDROID1-PRV-P-SAMSUSM-A515F-7176-067D42BC7A7F1CC01954EAF6392A6A4CC51DCA4F116A03C327479BE3FD3CCC382,DefaultWidevineAndroidPhone,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,2020-04-30T03:47:30.440Z,2021-03-14T11:36:32.613Z,,,,,
Victor,LGTV20194=41004331312,LG 2019 Mstar M3R Standard DTV Smart TV,2020-03-12T00:51:55.955Z,2021-09-23T02:59:46.221Z,2020-03-12T00:54:09.255Z,2021-09-23T02:59:46.221Z,2020-03-12T00:51:55.955Z,2021-09-23T02:59:46.221Z,2020-03-12T00:54:09.255Z,2021-09-23T02:59:46.221Z,
Rafael,SSTV-NVT5-0000000000000019778088,Samsung 2015 NT14M DTV Smart TV,2019-06-21T17:48:55.462Z,2021-09-23T01:07:20.629Z,2019-12-01T00:13:41.687Z,2021-09-23T01:07:20.629Z,2019-06-21T17:48:55.462Z,2021-09-23T01:07:20.629Z,2019-12-01T00:13:41.687Z,2021-09-23T01:07:20.629Z,
