Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
MOISES,Three Identical Strangers,thumb,,2,Smart TV,2021-07-24 01:29:50,
MOISES,The Bold Type,thumb,,2,Smart TV,2021-06-10 21:16:14,
MOISES,Sexify,thumb,,0,HTML 5,2021-05-14 18:24:40,
MOISES,Full Out 2: You Got This!,thumb,,1,Android,2021-01-08 23:18:37,
MOISES,Barbarians,thumb,,2,Smart TV,2020-10-29 00:17:24,
MOISES,Work It,thumb,,2,Smart TV,2020-09-19 23:21:29,
MOISES,Never Have I Ever,thumb,,2,Smart TV,2020-04-29 14:10:31,
MOISES,Unorthodox,thumb,,2,Android,2020-04-25 18:44:59,
MOISES,Miracle in Cell No. 7,thumb,,2,Android,2020-04-05 19:57:44,
MOISES,The Silence,thumb,,2,Smart TV,2019-05-05 16:41:04,
MOISES,22 July,thumb,,2,Android,2018-10-28 04:57:28,
MOISES,The Whole Truth,thumb,,2,Smart TV,2017-10-29 19:59:59,
MOISES,To the Bone,thumb,,2,Smart TV,2017-08-20 16:46:54,
MOISES,Sabotage,thumb,,2,Smart TV,2017-08-19 02:42:35,
MOISES,Sex Tape,thumb,,2,Smart TV,2017-08-19 00:52:49,
MOISES,Cave,thumb,,1,Smart TV,2017-07-15 03:46:22,
MOISES,Hacksaw Ridge,thumb,,2,Smart TV,2017-07-15 03:45:01,
MOISES,No Escape,star,5,2,Smart TV,2016-09-19 00:20:49,2016-09-18
MOISES,Homefront,star,3,2,Smart TV,2016-05-12 00:22:20,2016-05-11
MOISES,The Call,star,5,2,Smart TV,2015-11-22 04:25:10,2015-11-21
MOISES,House at the End of the Street,star,5,2,Smart TV,2015-11-15 22:31:46,2015-11-15
MOISES,Inception,star,5,2,Smart TV,2015-11-15 20:43:45,2015-11-15
MOISES,Due Date,star,5,2,Smart TV,2015-10-18 12:50:32,2015-10-18
MOISES,El Chapulin Colorado,star,5,2,Smart TV,2015-10-10 12:46:38,2015-10-10
Kids,Malibu Rescue,star,5,2,Smart TV,2019-06-13 23:00:48,
Kids,Violetta,star,5,2,Smart TV,2018-11-27 15:05:00,2018-11-27
Kids,American Girl: Lea to the Rescue,star,5,2,Smart TV,2018-09-11 19:26:04,2018-09-11
Kids,Bruno and Boots: This Can't Be Happening at Macdonald Hall,star,5,2,Smart TV,2018-09-06 17:19:17,2018-09-06
Kids,All Hallows' Eve,star,1,1,Smart TV,2018-09-06 17:16:29,2018-09-06
Kids,Victorious,star,5,2,Smart TV,2018-08-28 19:23:11,2018-08-28
Rafael,Mission: Impossible - Ghost Protocol,thumb,,2,Smart TV,2021-03-09 23:19:19,
Rafael,Grown Ups,thumb,,2,Smart TV,2020-06-05 02:29:58,
Rafael,The Dreamseller,thumb,,2,Smart TV,2020-05-02 17:03:11,
Rafael,Undefeated,thumb,,1,iPhone,2018-04-29 09:44:32,
Rafael,Collide,thumb,,2,iPhone,2017-11-06 23:36:26,
Rafael,Undefeated,star,3,2,Smart TV,2016-06-19 21:34:03,2016-06-19
Marcio,Formula 1: Drive to Survive,thumb,,2,Android Phone,2019-04-02 01:22:21,
Marcio,The 100,star,5,2,Smart TV,2019-02-21 02:57:29,2019-02-20
Marcio,The Ranch,thumb,,2,Android Phone,2019-02-10 19:38:46,
Marcio,Marvel's The Punisher,star,5,2,Smart TV,2019-01-23 01:42:27,2019-01-22
Marcio,The Kissing Booth,thumb,,2,Smart TV,2018-06-09 02:48:37,
Marcio,Operações Especiais,thumb,,2,HTML 5,2018-02-18 22:45:59,
Marcio,The Space Between Us,thumb,,2,Smart TV,2018-02-17 16:04:57,
Marcio,Grimm,thumb,,2,Android Phone,2018-01-07 03:02:53,
Marcio,Arrow,star,5,2,Smart TV,2017-02-05 16:58:03,
Marcio,Marvel's Daredevil,star,5,2,Smart TV,2017-02-05 16:57:53,
Marcio,Criminal Minds,star,5,2,Smart TV,2017-02-05 16:57:39,2016-09-22
Marcio,Hawaii Five-0,star,5,2,Smart TV,2016-06-15 23:14:11,2016-06-15
Victor,The Father Who Moves Mountains,thumb,,1,Smart TV,2021-09-21 16:16:41,
Victor,Kid-E-Cats,thumb,,0,Smart TV,2021-09-10 22:56:52,
Victor,Pocoyo,thumb,,2,Smart TV,2021-09-03 20:13:48,
Victor,The Land Before Time XIV: Journey of the Brave,thumb,,0,Smart TV,2021-09-03 18:21:55,
Victor,JoJo's Bizarre Adventure,thumb,,2,Smart TV,2021-08-24 23:31:12,
Victor,Peppa Pig,thumb,,2,Smart TV,2021-08-01 01:13:27,
Victor,Instant Family,thumb,,2,Smart TV,2021-06-07 20:57:53,
Victor,Midnight at the Magnolia,thumb,,2,Smart TV,2021-03-20 17:14:10,
Victor,When Calls the Heart,thumb,,2,Smart TV,2021-02-06 23:20:35,
Victor,Vikings,thumb,,2,Smart TV,2020-12-05 02:00:50,
Victor,The Lobster,thumb,,1,Android Phone,2019-01-20 23:41:20,
Victor,Big Hero 6,thumb,,2,Android Phone,2018-03-23 02:16:43,
Victor,Dark,thumb,,2,Android Phone,2018-02-14 02:18:59,
Victor,The Ranch,thumb,,2,Android Phone,2017-12-17 04:47:12,
