Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
MOISES,BR,Smart TV,0,tir,Como Se Tornar um Tirano,play,video_info,2021-08-24 00:35:40
MOISES,BR,Smart TV,0,tir,Como Se Tornar um Tirano,view_video_info,title_results,2021-08-24 00:35:40
MOISES,BR,Smart TV,0,tir,Como Se Tornar um Tirano,play,video_info,2021-08-24 00:33:12
MOISES,BR,Smart TV,0,tir,Como Se Tornar um Tirano,view_video_info,title_results,2021-08-24 00:33:07
MOISES,BR,Smart TV,0,th,The Walking Dead,view_video_info,title_results,2021-08-15 13:45:53
MOISES,BR,Smart TV,0,,,play,video_info,2021-08-08 23:00:57
MOISES,BR,Smart TV,0,,,view_video_info,,2021-08-08 23:00:54
MOISES,BR,Smart TV,0,,,play,video_info,2021-08-08 23:00:32
MOISES,BR,Smart TV,0,,,view_video_info,,2021-08-08 23:00:26
MOISES,BR,Smart TV,0,hi,História de um Casamento,play,video_info,2021-07-30 23:36:06
MOISES,BR,Smart TV,0,hi,História de um Casamento,view_video_info,title_results,2021-07-30 23:35:40
MOISES,BR,Smart TV,0,estri,O Estripador,play,video_info,2021-07-26 20:25:25
MOISES,BR,Smart TV,0,estri,O Estripador,view_video_info,title_results,2021-07-26 20:25:22
MOISES,BR,Android Phone,0,crimes,,play,title_results,2021-07-23 23:41:29
MOISES,BR,Android Phone,0,crimes,O Estripador,view_video_info,title_results,2021-07-23 23:41:02
MOISES,BR,Android Phone,0,crimes,O Caso Gabriel Fernandez,view_video_info,title_results,2021-07-23 23:39:21
MOISES,BR,Android Phone,0,um lugar si,The Silence,view_video_info,title_results,2021-07-23 23:35:03
MOISES,BR,Smart TV,0,inves,Investigação Criminal,view_suggestion_info,suggestion_results,2021-07-17 16:23:29
MOISES,BR,Smart TV,0,ex,Expresso do Amanhã,view_video_info,title_results,2021-07-01 01:24:28
MOISES,BR,Android Phone,0,horror,A Classic Horror Story,view_video_info,title_results,2021-06-25 19:04:39
MOISES,BR,Smart TV,0,fr,Fragmentado,play,video_info,2021-06-20 16:14:19
MOISES,BR,Smart TV,0,fr,Fragmentado,view_video_info,title_results,2021-06-20 16:14:16
MOISES,BR,Smart TV,0,o,Outlander,play,video_info,2021-06-18 15:32:03
MOISES,BR,Smart TV,0,o,Outlander,view_video_info,suggestion_title_results,2021-06-18 15:32:00
MOISES,BR,Smart TV,0,o,Outlander - Guerreiro vs Predador,view_suggestion_info,suggestion_results,2021-06-18 15:31:59
MOISES,BR,Smart TV,0,silenci,Um Lugar Silencioso,view_suggestion_info,suggestion_results,2021-06-13 23:39:54
MOISES,BR,Smart TV,0,sil,The Silence,play,video_info,2021-06-13 23:39:04
MOISES,BR,Smart TV,0,sil,The Silence,view_video_info,title_results,2021-06-13 23:39:00
MOISES,BR,Smart TV,0,mul,A Mulher na Janela,play,video_info,2021-06-06 18:39:30
MOISES,BR,Smart TV,0,mul,A Mulher na Janela,view_video_info,title_results,2021-06-06 18:39:24
MOISES,BR,Android Phone,0,docume,Os Segredos de Saqqara,play,video_info,2021-06-03 21:46:35
MOISES,BR,Android Phone,0,docume,Os Segredos de Saqqara,play,title_results,2021-06-03 21:46:34
MOISES,BR,Android Phone,0,docume,,play,video_info,2021-06-03 20:58:52
MOISES,BR,Android Phone,0,docume,,play,title_results,2021-06-03 20:58:50
MOISES,BR,Android Phone,0,docume,Heroína(s),view_video_info,title_results,2021-06-03 20:58:47
MOISES,BR,Android Phone,0,docume,Os Segredos de Saqqara,play,video_info,2021-06-03 20:42:34
MOISES,BR,Android Phone,0,docume,Os Segredos de Saqqara,view_video_info,title_results,2021-06-03 20:42:30
